num_cases,num_deaths,fatality_rate,f_rate,pop,D1,D2,MI,P,CHW,F,LE,PG,PR,PRG,PUG,PU,S,SU,SR,W,WU,WR,OD,ODU,ODR,chol_per_1000,death_by_chol_per_100k,temp_c,rain_mm
26944,491.0,1.82,1.82229809976,72552861.0,0.0,0.0,0.0,0.0,0.0,6.103,58.2719268293,3.16693693148,58.539,2.29780178884,4.40707960599,41.461,27.9,28.7,27.4,51.8,81.6,30.6,10.5,2.7,16.1,0.371370606598,0.676747950711,24.5135,1534.8539
22203,372.0,1.7,1.67544926361,74877030.0,39.9,39.1,0.0,0.0,0.0,6.006,58.659195122,3.1531754496,58.024,2.26952834546,4.38765409421,41.976,28.3,28.6,28.1,52.1,81.3,30.9,10.4,2.6,16.0,0.296526184332,0.496814577181,24.5373666667,1481.0248
19182,276.0,1.4,1.43884892086,77266814.0,0.0,0.0,246.0,0.0,0.0,5.908,59.023902439,3.14173811308,57.506,2.24499493347,4.36822496207,42.494,28.7,28.5,28.7,52.4,81.1,31.2,10.2,2.5,15.8,0.248256644826,0.357203805504,24.511425,1505.1939
2047,19.0,0.93,0.928187591597,830802.0,0.0,0.0,7.7,0.229,0.0,3.484,60.3606829268,1.29688733721,23.004,1.07102549308,1.36446703696,76.996,48.4,60.6,7.4,89.2,96.6,64.5,20.1,4.0,73.7,2.46388429493,2.28694682969,28.4422916667,270.25613
127,1.0,0.79,0.787401574803,841802.0,0.0,0.0,0.0,0.0,0.0,3.406,60.8505609756,1.31533328776,22.947,1.06692382568,1.38943086785,77.053,47.3,59.8,5.1,89.9,97.4,64.7,20.2,3.7,75.6,0.150866830917,0.11879278025,28.300725,250.09682
191,0.0,0.0,0.0,9897983.0,22.9,31.9,1.9,0.0,0.0,2.597,72.749804878,1.32461872155,26.248,-3.18578739324,2.98023373377,73.752,82.1,85.4,72.9,85.9,87.7,80.7,3.8,2.2,8.5,0.0192968607847,0.0,23.84805,1955.1707
20851,336.0,1.61,1.61143350439,10027140.0,0.0,0.0,0.0,1.49,0.0,2.568,72.9452926829,1.29644177366,25.071,-3.29138478916,2.87973964252,74.929,82.5,85.6,73.4,85.7,87.2,80.9,3.6,2.1,8.0,2.07945635545,3.35090564209,23.556325,1757.4276
7919,68.0,0.86,0.858694279581,10155036.0,0.0,0.0,0.0,0.0,0.0,2.539,73.1353170732,1.26743233317,23.961,-3.26099329033,2.73796783252,76.039,82.9,85.7,74.0,85.4,86.8,81.2,3.4,2.1,7.5,0.779810135582,0.669618502583,24.1416166667,1523.3021
1954,42.0,2.15,2.1494370522,10281408.0,55.1,48.0,0.0,0.0,0.0,2.51,73.319902439,1.2367475551,22.918,-3.21373689936,2.59908872613,77.082,83.3,85.9,74.5,85.2,86.3,81.4,3.2,2.1,6.9,0.190051790572,0.408504360492,24.3134916667,1271.5201
603,11.0,1.8,1.82421227197,10405943.0,52.0,47.5,0.0,0.0,0.0,2.48,73.5000243902,1.20398696153,21.939,-3.16167747963,2.46606205447,78.061,83.6,86.0,75.1,85.0,85.9,81.7,3.0,2.0,6.4,0.0579476554888,0.105708824275,24.8034333333,1253.1589
546,15.0,2.7,2.74725274725,10528391.0,0.0,0.0,0.3,0.0,0.0,2.451,73.6766829268,1.1698427707,21.02,-3.10930584722,2.34025061067,78.98,84.0,86.2,75.7,84.7,85.4,81.9,2.8,2.0,5.9,0.0518597761044,0.142471912375,25.1545666667,1187.7363
1682,21.0,1.25,1.2485136742,87561814.0,0.0,0.0,106.2,0.022,0.0,4.903,61.2961219512,2.61459281992,82.681,2.12113949344,5.00449545138,17.319,21.7,25.7,20.9,47.8,91.1,38.7,44.4,13.0,51.0,0.0192092868245,0.023983057272,23.2841083333,859.84513
1,0.0,0.0,0.0,65342776.0,0.0,0.0,0.0,3.381,0.0,2.01,82.1146341463,0.483644884691,21.416,-0.626163266703,0.788241829993,78.584,98.7,98.6,98.9,100.0,100.0,100.0,0.0,0.0,0.0,1.53039105654e-05,0.0,13.3767458333,707.7092
1,0.0,0.0,0.0,66268972.0,0.0,0.0,0.0,0.0,0.0,2.01,82.6707317073,0.448991377608,20.711,-0.674508580143,0.744550774164,79.289,98.7,98.6,98.9,100.0,100.0,100.0,0.0,0.0,0.0,1.50900182969e-05,0.0,13.39112,915.5568
1,0.0,0.0,0.0,66538391.0,0.0,0.0,0.0,0.0,0.0,2.01,82.6707317073,0.405729567253,20.48,-0.715891447293,0.69664657374,79.52,98.7,98.6,98.9,100.0,100.0,100.0,0.0,0.0,0.0,1.50289176665e-05,0.0,12.1089183333,693.0891
4,1.0,25.0,25.0,81776930.0,0.0,0.0,0.0,3.689,0.0,1.39,79.987804878,-0.153198446937,25.709,-0.920407396618,0.113677273516,74.291,99.2,99.3,99.0,100.0,100.0,100.0,0.0,0.0,0.0,4.89135505576e-05,0.00122283876394,8.32235416667,770.1824
