title,company,location,salary,description,city,state
Manager of Statistical Programming,Whiz Finder Corporation,"East Hanover,  NJ",150000,"Generate data listings, tables and figures from clinical data, using SAS or other statistical software. Program statistical analysis of the clinical data under...",East Hanover, NJ
Quantitative Analyst,Execu | Search,"New York,  NY",175000,"Analyze large structured and unstructured data sets such as internal trade data, risk data, fundamental data, and sentiment data....",New York, NY
Software Engineer - Machine Learning,NxT Level,"Seattle,  WA",117500,Practical experience in using statistics in analyzing and processing data. You’ll join a top-notch technology team that is dedicated to solving some of the...,Seattle, WA
Internet Research Analyst,"G2 Web Services, LLC","Bellevue,  WA",35000,"Located in Bellevue, WA we are seeking an experienced data entry person who can review websites and enter them into appropriate content categories....",Bellevue, WA
Environmental Compliance Coordinator,King County,"Seattle,  WA",93350,"Skill in analyzing and interpreting technical data. FESU is the Division's professional and technical services unit that consists of approximately 30 engineers,...",Seattle, WA
Business Intelligence Scientist,All-In Analytics,"Seattle,  WA",125000,"Business Intelligence Scientist. SQL, Digital Analytics, eCommerce, Big Data, A/B Testing, data mining, data analysis, reporting, dashboarding, product...",Seattle, WA
Senior Data Scientist,Smith Hanley Associates,"Seattle,  WA",160000,"Senior Data Scientist. You must have a minimum of 4 years' industry experience working with real data (data cleaning, data visualization and modeling)....",Seattle, WA
Predoctoral Research Fellow,Seattle Children's Hospital,"Seattle,  WA",45850,"The fellow will be mentored by the program director, a computer scientist and developmental researcher, and involved in an active community of clinical and...",Seattle, WA
Software Development Engineer (Back End) (Local candidates o...,Laetus Recruitment,"Seattle,  WA",135000,"The position is at a fast-growing startup in an emerging industry consisting of data scientists, engineers, product marketers and financiers....",Seattle, WA
Associate Analytics Analyst - Liberty Mutual Surety,Liberty Mutual,"Seattle,  WA",59500,Opportunities to advance through Advanced Analytics and Data Scientist career tracks. Summarize and create visualizations of data....,Seattle, WA
Variant Scientist (Remote),Lighthouse Recruiting,"Seattle,  WA",95000,"Join our Medical Laboratory Scientists Groups:. Familiarity with databases, tools, and resources commonly used in interpretation of genomic data....",Seattle, WA
Bioinformatics Analyst,Lighthouse Recruiting,"Seattle,  WA",85000,Working with a team of scientists to develop new technologies and protocols and scaling genomic data production....,Seattle, WA
Senior Safety Scientist,Das Consulting,"San Francisco,  CA",225000,"SENIOR SAFETY SCIENTIST*. Core Data SheetLead/support PDS post-marketing safety study activities. Ability to evaluate, interpret and synthesize scientific data...",San Francisco, CA
"Senior Scientist III, Pre-Clinical Safety",EPM Scientific,"Redwood City,  CA",140000,"Senior Scientist III/ Research Scientist, Pre-Clinical Safety*. Principal Scientist | GLP Toxicology*. Specific role includes maintaining knowledge of emerging...",Redwood City, CA
Associate Data Scientist,Harnham,"San Mateo,  CA",130000,Associate Data Scientist. YOUR ROLE AS ASSOCIATE DATA SCIENTIST:. Prior experience in a Data Science or Analytical capacity....,San Mateo, CA
Senior Data Scientist (Python),Workbridge Associates,"San Francisco,  CA",170000,"This is an excellent opportunity for junior full-stack data scientists that want to own the entire modeling and data pipeline, and seek an opportunity with an...",San Francisco, CA
Senior Data Scientist,Workbridge Associates,"San Francisco,  CA",200000,One of the largest media conglomerates in the world is looking to bring on a Senior Data Scientist onto their Media Processing team....,San Francisco, CA
Data Acquisition Programmer,Ceres Imaging,"Oakland,  CA",120000,"Data Acquisition Programmer. Strong background programming hardware or instrumentation, preferably with an emphasis on data collection/logging....",Oakland, CA
Director of Data Science,Harnham,"San Francisco,  CA",230000,"Data Science, Data Scientist, Director, Head of, VP, Big Data, R, SQL, Python, Insight, Analytics, Data, Statistics, Modelling, Machine Learning....",San Francisco, CA
"1809 Education Policy Analyst - Research, Evaluation, Policy...",San Francisco Unified School District - COE,"San Francisco,  CA",102473,Promote the use of this progress data by internal and external stakeholder groups. Advise district leadership and decision-making committees on findings from...,San Francisco, CA
Senior Research Engineer (Machine Learning),Workbridge Associates,"San Francisco,  CA",150000,Experience working closely with data engineering's. Fraud detection and big data analytics software startup in San Mateo is hiring a Senior Research Engineer...,San Francisco, CA
Teradata Analyst,International Solution Sources LLC,"San Francisco,  CA",50000,"A genuine interest in pursuing a career in Data Analytics / Data Scientist, implementing analytical techniques and concepts such as;...",San Francisco, CA
Algorithm Software Sequencing Scientist,PLE,"San Francisco Bay Area,  CA",135000,"Algorithm Software Sequencing Scientist*. That's because you will not only be working with the best scientists in the country, you will also be doing the most...",San Francisco Bay Area, CA
Data Scientist (Machine Learning),Corporate Labs Technology,"Brisbane,  CA",145000,"Machine Learning Developer Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Brisbane, CA
Marketing and Recruitment Specialist Job - Fung Inst.,University of California Berkeley,"Berkeley,  CA",67850,"Ensures all data is current and solicits new content on a regular basis. The Coleman Fung Institute for Engineering Leadership, launched in January 2010,...",Berkeley, CA
Data Scientist (Python),Workbridge Associates,"San Francisco,  CA",170000,"This is an excellent opportunity for junior full-stack data scientists that want to own the entire modeling and data pipeline, and seek an opportunity with an...",San Francisco, CA
Machine Learning Algorithm Engineer,3coast,"San Mateo,  CA",150000,Build scalable data systems using Hadoop stack technologies. Prior experience applying strong mathematics fundamentals in data analysis and modeling....,San Mateo, CA
